,Subject,Body,date of crime,time of crime,approx time
0,Burglary at University Village: Albany (UVA)," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 06-17-2021 02:09:00, a burglary occurred at University Village: Albany (UVA).

A burglary occurred of an occupied residence at the University Village: Albany (UVA). UCPD case #21-00814

If you have any information about this crime, or if you know about any recent similar incidents, please contact:
UCPD (510) 642-6760

UCPD would like to remind the campus community about the following safety tips:

*	Keep your doors and windows locked.
*	Familiarize yourself with the security systems and procedures utilized in your building. 
*	Keep a record of all keys issued. Master keys and extra duplicates should be locked away for safekeeping. 
*	Maintain an inventory of all office equipment; include the make, model and serial number of each item. Keep this inventory in a safe place. Keep it current by adding the identification numbers of all new equipment. 
*	Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner. 

For information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.

WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/1Vo00e5qZp8RGnfeImqUdcPsKOSZ-gUkq_h80xbCtc-R9PSqWE7m6PJPZBsTCOGA3oj0MGAh05cs5W77lulKBZ3MoPz_rQqOL17tk4kbUIfEd0mtgtcwStC-jTdrAwGseKVI6-mDTEP6gdbPX6PxKUaBAu0svPjaEbFQ6Fyiyruj8obAHhtzkKfSF6oYe75KuZf4L6VYVsiUN4L4yzCCJgboDKRJ1EpAyamnPFMcMgR0UHkYqyQ9OSm-hDqULqSOnIPgSR54Yj5Grr7oBQr4zk_pMnlpQb9KTzQY-_28uw7-yNwKgqT4Z7w207vrB5IBz5_sUuIpT_t1lGOgS_iSv2e5QHQ-mYLhqP94dIsCm7dlf2ejAR905zzDO6I7Ot3a2-fM2m_qz4wudRXeNHUrfjgaw2KlethJxUGSbO7SkkY33HNHRNffIz-jv_-IFhNoFc3y9ssm0jsua6OFh0JjaKJeR1SeRqBfoRrIxy-CIHMDZDYUOlUP7qNlHXncbc2B4mfs?language=en-US> .

",06-17-2021,02:09,
1,"Arson Reported at 2650 Haste St., Berkeley CA (Unit II central building) - Please note this message may contain information that some may find upsetting."," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 06-16-2021 05:20:00, an arson occurred at 2650 Haste St., Berkeley CA (Unit II central building).

An unidentified male burned the surface of a access control card reader and some nearby landscaping.

If you have any information about this crime, or if you know about any recent similar incidents, please contact:
UCPD (510) 642-6760

UCPD would like to remind the campus community about the following safety tips:

*	Report all fires, no matter how small, to the local fire department, and request they come to investigate suspicious fires for possible arson.
*	If you’re a bystander and see someone behaving in a way that seems suspicious, step in and do something about it. If you don’t feel comfortable or safe confronting them, call 911. 
*	Post all notices and paper signs located outside in protective display cases.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.

WHAT IS THIS NOTICE?

 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/MZcNbecnqmEXifdu7_nS2gpIjGjzKSG3qPbDUP8TR5CX0lQC42CvJab8SL1NRe-cO9bmIJ3RTooeUvYk-i_X-yEUfWe0tNz_vsrwMrrJ4LQnIoSDz4TRJbTMh9ywBdIOJyzZaVQSKF3YpPQrjo_ImJ3kywogiivioyZXHlapP1wMGzNN0GGereG4sq5p-Tqpo-nKGXNoJHukvl29SC4RhlG5qoltcbV6s3Us5GbsrB6VBDnpk-LOZ-zDQ1hHSeuu3GuhAvN4UW2eMWngJ6ktGYxt_ssnT1qluHCrfbhGefcrye6mEwMNzYPiXQxwCexND7AInOGWomvtitKJ9inv0jzHRzizof71bbWOcLouiH6PGsdtBH2kP8SfIVBIYZgdvxrXfzc_xE39ZCDPhdWGeR_UqL7ZHBFSkRKVa9NFNBw7cf9RsC9R_BvtPimPBbN4EuMpi6oDyOl2fy04zqY-RsBvPug4aqqcsZ961LkDN3JsCnk_8FL9kP7eO6M6z7gWNDHt?language=en-US> .

",06-16-2021,05:20,
2,UC Berkeley WarnMe:," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

On 6/12/21 at approximately 0322 hours, a battery occurred in People's Park. Under investigation. 

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/C0W_9b1wnKejNtQxThz0Dy50DlpNiJH4v2j-taVBn9INY6usKehHNCG0qENIu1tM6ypaX4jUNygka8PjcaYGrb7UWiQ6hf40ElHFCtPcjc6MMnRM3TGbpsMrvlKRgsuCltu0YvWFWnsuAfVkV_hGkeg7Bxkjkuy4h-a4eQ55h34Qsz1rLFCEziQ3opJM87YORXENlXnC_SPjNcoESGdXu_vjhPjtkTBtoaTVgmLnXMs-ytL5rEaSVVKb0hGJw0wKAZ2dukv7YejkXpWINHvyinZghoh8zLxZlCXi6gNTbgdg5cPxwPxz76S30jRh9g7OM1Zn7Ylm80olsgEU8E9ub9IGqKBAMPHZcexl9Q3h2fiRXz4J5o1df3iyBokedzsOPX30jgQsOwweVIdUQyTB3fbR3J58znPQS95YU4bQzkuxfuAkeVBXt_mPVFFfxVL1MZM9nQoj2BAgkgjI_JBrt9a0JCfl-qA_SEgACBYlvb57yrh_q9uP88NxMVeTd3ULHI9r?language=en-US> .

",6/12/21,,approximately 0322
3,Violent Crime Reported at 3100 Block of Dwight Way (next to Clark Kerr Campus) - Please note this message may contain information that some may find upsetting.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 06-08-2021 13:15:00, a hate crime - intimidation was reported to have occurred on the 3100 Block of Dwight Way (next to Clark Kerr Campus). 

The suspect threatened the victim, claiming he had a knife, but no weapon was seen. The phrases and words used by the suspect and directed at the victim led UCPD officers to believe this incident was racially motivated. The incident was later reported to UCPD officers and the investigation is ongoing.

Intimidation is to unlawfully place another person in reasonable fear of bodily harm through the use of threatening words and/or other conduct, but without displaying a weapon or subjecting the victim to actual physical attack.


A hate crime is a criminal offense that manifests evidence that the victim was intentionally selected because of the perpetrator's bias against the victim.

If you have any information about this crime, please contact: 
UCPD (510) 642-6760

UCPD recognizes and places a high priority on the rights of all individuals guaranteed under state and federal law.  The commission of a hate crime is a serious offense, which will not be tolerated.
 
For more information about hate crimes and reporting, visit the CA Attorney General’s website <https://oag.ca.gov/hatecrimes#:~:text=A%20hate%20crime%20is%20a,or%20perceived%20protected%20social%20group.>  resources.


On Campus Reporting Options:



-UCPD
510-642-6760


-Centers for Educational Justice & Community Engagement

https://cejce.berkeley.edu/report-incident <https://cejce.berkeley.edu/report-incident> 

-Division of Equity and Inclusion:

https://diversity.berkeley.edu/report-incident <https://diversity.berkeley.edu/report-incident> 



UCPD would like to remind the campus community about the following safety tips:

*	Use and encourage others to have a safe means of conveyance at all times (e.g. travelling with a trusted friend or in a group, taking a taxi, or utilizing the free night safety services available to every member of the campus community such as BearWalk or the night safety shuttle: nightsafety.berkeley.edu <https://nightsafety.berkeley.edu/> ).
*	If you need help, dial 911 or use a blue light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).
*	Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.
WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/YqtIJwyaDWZm9YpClgw-tbeWuJBpdnoSyO8rNyJF3uDSkrE6xV6iGhAgRTB3rumxrwNPGnvSOHagHgfRqtWGrffJvEGfbbEylGG2P2_80iBf0d5wE1AYweG_g6uzXO3TvdSSNW1WvOMfIq-xA9zj-egu1SIMqZMwf8pb2GIBuUip0RQ9OKwgDpmmIeG4tV_I1cS-4m_U4ahaqSKVAmnX-UkejR9qN_FioVIsN_l5jUs3Tcl-i_Og7u7bm7jbXP0gEsD5159DurFbUoXo6Eb1TH-T4JP6F8ZPQqpn48eHLDPrUGPH6V1F1M5TvwXAJk2bxnCOahN1-ENLgW6X5g06omIHE-BxH1eNJtOzA0Ao2TBolS-2mwGLHP9qFCYhWKjBcERyaaobLPDuXpe0uTGQ9bV7_Ssaf7ctdu6AcanIwFWITh5G7en6WJ-VarbgMU_MD2oMjc8bf4EViFjLgUJcvQlvo08Z410xE_vc8CFI5qzJS-NvXIUqk4oQG0RF3scEzxYU?language=en-US> .

",06-08-2021,13:15,
5,Community Advisory - UCPD Supports LGBTQ+ Pride Month," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 




Community Advisory: UCPD Supports LGBTQ+ Pride Month


During national LGBTQ+ Pride month we take time to recognize and support the LGBTQ+ community. We affirm the University of California Berkeley Police Department’s commitment to and support of the LGBTQ+ community within our police department, on the campus and in the city.


During the month of June, as a tribute of our support and service to the LGBTQ+ community, all employees, sworn and professional staff, are encouraged to show their support by wearing a Pride lapel pin on either their uniform or in plainclothes. The pins are provided at no cost to all employees.


UCPD values our diverse community and is dedicated to treating all people with dignity and respect. Through our partnerships and continuing education, we strive to create an inclusive culture and welcoming environment for those who choose to visit, work, study, and be of service in our community. 

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/8W-df7nwVnvmL9gKvnCcd9xM2xbOqviXPhFl_pxR3dxMqVkEEJ36ElMPpxtPyFt6M-4EcqCUVJq3tg-NoZC57gn3P46CF2LZSs8lZbMXYzwnCQ3UQjfd7owy9gASklANoS8WbUX1uyOGhB3tUg0j-PW3dWQgCBjCmek0meWeJdGCwQOOdDo6ZFfYua2M3oMNluT8M5bQtDIgGxPzbQGNS70yVHEH4YATF6_Osz-_ZbjkBMK68NX8MH43RyHnTd_N-BtWQiq5DKP5Zt2O6hUaB5ob3P1HDoWEoI9x1Z34RsrM6BDcFN_lW1kDpQ8Rl8jRMxZSDbaizQjn_au0upVQarD4OyKO0jGqV7UZsN1ryiD0cv_lKTcVkQnBFJvdNyfgZcfByuDoNmNMYajzxkEj1LVdBtc25eH_Fqg0GfvV5J3orpQrYV4xU2GFRXoL2BQXjP-HlmxoU1EHliv_8QUB8cfP45ulSTv-JGzVTHq68rEyNMpUG3qgXcTORBaEq4InLSpL?language=en-US> .

",,,
6,"Burglary at Botanical Gardens, 200 Centennial Dr Berkeley CA"," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 05-10-2021 10:30:00, a burglary occurred at Botanical Gardens, 200 Centennial Dr Berkeley CA.

Burglary occurred at Botanical Gardens between 05/29/21 1800 hours (6pm) and 05/30/21 1030 hours (1030 am). No items stolen.

If you have any information about this crime, or if you know about any recent similar incidents, please contact:
UCPD (510) 642-6760

UCPD would like to remind the campus community about the following safety tips:

*	Keep your doors and windows locked.
*	Familiarize yourself with the security systems and procedures utilized in your building. 
*	Keep a record of all keys issued. Master keys and extra duplicates should be locked away for safekeeping. 
*	Maintain an inventory of all office equipment; include the make, model and serial number of each item. Keep this inventory in a safe place. Keep it current by adding the identification numbers of all new equipment. 
*	Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner. 

For information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.

WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/MsJhxEUx2TDSYyMWGrz2Ihl-y1coKa0LBWFPTE-Y8Q4doH1adQx1SMuLaopDZ1lNlbzHk8fWM26HbOnV-5SBKK8Tvzxmg4_B29DaOg4x8-_-5U3iGPT86oOxqgy3mO6L_X-cJFsBsZDW6U6bvStKzqnyos45HyIFoLWxCVPfCCqxxG_pTjmIOx2_P1fllKLcuiMtOWv5lEm2AmFB56J18FcjP2hXDYwGtApLzGroRGgyguvRDaYN0NdZtsgruySbVohMz2LpFp9ZNbw6edTNDX1EO8aKLOT7TsOskBuKPFkhsTwF99xaSMd1P12l6wWi3DWScfC_04VKt733W_DLuOgn2BsZBl4jTfqoWZAerz1hyOPMLveZrStswUIPUASYr-fuA9Oy9VkFbjdjzP6d7eXGWUQZZ730BS7JLBmwvzRqXr15r0hIHP6Z4Rw1PAN-m_-5vC3ELSGlbkvHHZzCgwKLT5I84xWHbQjKZevXUluqgSMYODaULbSugPmRmQqjmg2V?language=en-US> .

",05-10-2021,10:30,
7,Community Advisory - Work-Study Internet Scam," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Community Advisory: Work-Study Internet Scam



Please be aware of a common internet scam that is targeting members of the campus community.


In this type of scam, the suspects typically make contact by telephone or e-mail and pretend to offer a work-study position as a personal assistant. The suspects send a check to the student and instruct them to deposit the check into their personal bank account. The suspects then direct the student to go to a store to purchase gift cards for the value of the check. The suspects direct the student to provide photographs of the gift card numbers. If successful, the suspects may request additional gift cards until the student stops cooperating. By the time the student checks their bank account and discovers the suspects' check has not cleared, the suspects have already received the gift cards.


Legitimate employers do not provide checks in exchange for gift cards. If you are targeted by this type of scam, do not make any payments or provide any personal information to the suspect. End the communication. Preserve any information about the suspect that you might have (e.g. messages or identifying information) in case you decide to file a police report. To make a police report, contact your local law enforcement agency, or UCPD if the scam occurred on campus: (510) 642-6760.


Reporting these types of scams to authorities may help direct resources to combating the problem, but you should also know it can be difficult to identify and hold accountable the suspects in these types of incidents. 


For more information about these and other types of scams, visit:


US Federal Trade Commission (FTC) – Scam alerts

https://www.consumer.ftc.gov/features/scam-alerts


US Internal Revenue Service (IRS) – Information on tax scams and consumer alerts

https://www.irs.gov/newsroom/tax-scamsconsumer-alerts


US Citizenship and Immigration Services (USCIS) – Immigration scams

https://www.uscis.gov/avoid-scams


If you have concerns about possible identity theft:


US Federal Trade Commission (FTC) – Identity theft reporting and recovery

https://www.identitytheft.gov/


California Office of the Attorney General (OAG) – Privacy enforcement and protection

https://oag.ca.gov/privacy




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/EcmSso5CiJAAYshe_qUszF8AfnHh7PlQPX-8i9Xv7CftlbhjlbvPmEs3F1zdg93_LOOU1aPpBrFOU5SuKIpbR1yiAg-sBBxecc4Fj3XmsjRx0zyR8el_TvrlMr1fhmDKmGMNJCULyQ30DtAhb_Mjfm1gTKwcN8mvKmLDlBPKvdm_fxFUJooOgQ8fayS09kNnRiGbEkldNzb12cS-cRVhRjTfqHVQEWvTD0-06Lg7RCTj2KkM_qfoDdsYcUseoAc2JnoqxXQw8HW7sU5_8yJQOsYmMfQcnMS1fACmZPExyv9S3qUTpJ2unUIoFkYHuVPQYhAUuNMPHed0QcXlspmN11Wsdgjt8PIQ1dYr08E5jLFwjeCxk3va7DkESW3M6MfY3EgROKtTdFAJ3hegWPR3GjeMk_cYTw1v8B1t1d6k7wlVS2uAVGCik703RHl119o_KdFUxcv27b2-f6N1-bS7Mus8A9_V4O93J0EURDuQS4BE3l8L3k-E32rMZUPSwL8zqXDr?language=en-US> .

",,,
8,Community Advisory: Work-Study Internet Scam," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 



Community Advisory: 

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/_f8AQ_ftLMhgToWqBMEq9-a8Li-f4d0oT253Q2NXuuKKgRJN5BFLsR1kS3OvQYzbi_A9ENe_ISEaCSmRrBfy3nSZ9TJqHx9-7TeJAcWjZIER1clxQS9Z-rWePBtp_gYQxM70YhqMAc7-EJkoRMB4ePhoIpypbLBLb08wRIIHn16m27q0c-64L3xQfDERcXbizuKjbFmk2t709FIkWLLFGEVXRDFqRf3u9zC5eiBRg-P5Bq2s71n7bP7Am_JhVK2oZsWAwyNx4jnhAEzkdHuplV5BHf9eYOxMhvbCIvvquQGK8ry9pTDNkIIl6JxaCvnMnrbeTF_hN1BrPROAk0COCerltWiyP0fnjlqmit3l6_1PaIqtTr11-lxsn2xZtl1KEIz-RCJ2EmA2QL3lO61VmUuhekXKFjhISriTh3HKas13MJ6hIT4LyeOZlWfGVvtfvG7B335_27kvXsJVcXZR1eBc-7VaH23pWl4VNuI3STr3V6f7VqGR8mZ77iALXh9lvEj2?language=en-US> .

",,,
10,Violent Crime Reported at Channing Way/ College Ave (Unit #1) - Please note this message may contain information that some may find upsetting.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 05-18-2021 15:50:00, a robbery occurred at Channing Way/ College Ave (Unit #1).

Street robbery via hand gun

If you have any information about this crime, or if you know about any recent similar incidents please contact:
Berkeley Police (510) 981-5900

UCPD would like to remind the campus community about the following safety tips:

*	Use and encourage others to have a safe means of conveyance at all times (e.g. travelling with a trusted friend or in a group, taking a taxi, or utilizing the free night safety services available to every member of the campus community such as BearWalk or the night safety shuttle: nightsafety.berkeley.edu <https://nightsafety.berkeley.edu/> ).
*	If you need help, dial 911 or use a blue light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).
*	Electronic devices are popular robbery targets. Being aware of your surroundings and keeping your devices out of public view can help reduce risk.
*	Please do not delay in calling law enforcement. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.
WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/LLg77Ax9epBVlHfGLBAlruO8868vwGw-VAgod4S3tZvHa0P9O-kAUAMAcchHAsWAGFb5GG8Qo1D9YJszXykFOeGj0uVR-yUfEWLqoF_so7PValke2BNMJWn3hGolyQ_Emk50CoSoewC_hWRlcF2UL6W0oeWH3dJgdXvQFXRxc4gEuDu3jhtJC6IXiacG_Kl5zGaWJcGWhum3lPgwv5DcGJK0ophpSHG3CGFSqKlFKh3U_JiTzOvYzWD18PzKTJiRabfseLY13X6QLc-Dls3UYeP2s-iYLReQKps_pgieXEy27jOFMOgBsOs-LtlFBXf1v_AN4pDgmnj6YHxIOJOW-ZaapwI415ZnYHOawmekswvk2H9Uz93xcSUohl-2S5b9HX3IGi_6WE2NhAgw5thXiZ1QIhtaJWpb8KoLbJ9ipmptLUqjEkoFFlHqBiI9Ik8tJi1ItYGbwNJU6VYr2ySxYmll3VYlSP8LKVwnhHkfsTd_6_kqyP619xN_m2_38n6-kDyJ?language=en-US> .

",05-18-2021,15:50,
12,Burglary at Clark Kerr Campus building 23," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 07-01-2021 18:07:00, a burglary occurred at Clark Kerr Campus building 23.

Burglary occurred at the Clark Kerr Campus building 23. UCPD case #21-00876

If you have any information about this crime, or if you know about any recent similar incidents, please contact:
UCPD (510) 642-6760

UCPD would like to remind the campus community about the following safety tips:

*	Keep your doors and windows locked.
*	Familiarize yourself with the security systems and procedures utilized in your building. 
*	Keep a record of all keys issued. Master keys and extra duplicates should be locked away for safekeeping. 
*	Maintain an inventory of all office equipment; include the make, model and serial number of each item. Keep this inventory in a safe place. Keep it current by adding the identification numbers of all new equipment. 
*	Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner. 

For information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.

WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/BjWHLWdyXVu2r-0XYobQY-a_fH-f4tMnXAxruprCecjSmiC8GtRVqg3RmKFQfpfbfoqcKcJZRzaixM1F2m6NuJAcFWaA4_SIPQ-kebfhs0eaqNJslWz9einlKEjHUizP7tBAX2Zdfgt2hqZ2vBt7Nt2NRK2O7dW_Nub-Dow2hS2IotTjkspbp719opkNMb5eBfJC9hBYJ90FtfRmSua6y_iSOCHbx6QAngGZS1hYztteDwIthl1Ly6wpnTGJ9PAOVHHJrn__Uw0OYrxlrA8CKtQo7iLUJSPoFAqQqxflrtxjm0HTOUlk3cqHfVq-4Y8bRuZpAbVxes-jEwjGe7z9avyec6i9B2rSrCNq5wBOxt9IycER02nkvWCmnRoHorEVkhS98VM5fWtCTNbwAgdTLlWcY-A9JWnBradNSVlT--U1_aGqDWS7iFz4m60n--RbchfqFLVRpmCpbyFqkX7tT8k426nic8qqhutUTzsa7pHKWSK5-gNIqvyMCNFQ0lR1YnN4?language=en-US> .

",07-01-2021,18:07,
